nama_produk,harga_produk,toko,kota,jumlah_penjualan,rating_produk
Kerupuk Seblak Rafael Mawar Kecil Mentah 500 Gr / Seblak Viral YONGKI,Rp11.980,insanprimastore,Tangerang Selatan,30+ terjual,5.0
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,Rp20.000,KRIUK JAYA,Jakarta Barat,40+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",Rp9.900,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,90+ terjual,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp15.000,Lidigeli,Kab. Garut,250+ terjual,4.8
kerupuk seblak polos pedas 500gr jajanan cemilan sneck makanan keripik,Rp20.000,pelangi khatulistiwa 2,Surabaya,40+ terjual,4.9
seblak basreng pedas original exstra daun jeruk 500gram,Rp25.000,Seblak putra bandung,Kab. Bandung,250+ terjual,4.8
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,DUO BOCIL SNACK,Depok,100+ terjual,5.0
BASO ACI TULANG RANGU MIX JANDO,Rp9.500,,,750+ terjual,4.7
Cimol Keju Leleh isi 20 pcs,Rp10.000,,,250+ terjual,4.6
CUANKI INSTAN BANDUNG,Rp4.500,,,3 rb+ terjual,4.8
Kerupuk Seblak Rafael Mawar Kecil Mentah 500 Gr / Seblak Viral YONGKI,Rp11.980,insanprimastore,Tangerang Selatan,30+ terjual,5.0
Kerupuk Bawang Prima / Kerupuk Warna Warni / Krupuk Seblak 100gr,Rp8.000,food Service Ingredients,Jakarta Timur,,
Kylafood Seblak Karuhun Play,Rp12.825,kylafood,Bandung,250+ terjual,4.9
cuanki tahu gepeng isi 50 pcs toping seblak baso aci,Rp19.500,CUANKI CULAMETAN,Kab. Garut,100+ terjual,4.9
SEBLAK INSTANT PEDAS JERUK,Rp5.800,ICIP ICIP SNACK BANDUNG,Kab. Bandung,19 terjual,5.0
"baso aci, bakso aci, cuanki, seblak instan, boci",Rp8.000,baso aci masabi,Jakarta Selatan,2rb+ terjual,4.8
Paket 7 Pack Seblak Instant CARLA,Rp145.000,Seblak carla,Tangerang,30+ terjual,4.9
MIE BURUNG DARA ISI 30 PCS BASO ACI/BOCI/SEBLAK,Rp26.000,ArfaOnlineShop,Tangerang,40+ terjual,4.6
KERUPUK JABLAY BANTET SEBLAK PELANGI,Rp15.999,Toko kue Sumber Mas,Jakarta Timur,500+ terjual,4.9
Geli Chips - Seblak Kering Pedas Gurih Daun Jeruk 65gr,Rp10.200,Foodstocks,Jakarta Selatan,40+ terjual,5.0
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
SEBLAK INSTAN MAMANG TERMURAH,Rp4.200,global cookware1,Jakarta Barat,250+ terjual,5.0
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,Rp25.000,LEGIT SNACK,Jakarta Barat,60+ terjual,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,90+ terjual,4.9
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,750+ terjual,4.9
kerupuk seblak kering pedas 1 kg keripik hot spicy camilan kekinian,Rp41.000,JAGO TOK PETOK,Surabaya,100+ terjual,4.9
KERUPUK SEBLAK RAFAEL KERING BANTAT PEDES DAUN JERUK 250gr,Rp18.000,AyundaSnack,Bandung,80+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,DUO BOCIL SNACK,Depok,100+ terjual,5.0
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp15.000,Lidigeli,Kab. Garut,250+ terjual,4.8
Kerupuk Seblak Rafael Mawar Kecil Mentah 500 Gr / Seblak Viral YONGKI,Rp11.980,insanprimastore,Tangerang Selatan,30+ terjual,5.0
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,Rp20.000,KRIUK JAYA,Jakarta Barat,40+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",Rp9.900,Brother Meat Shop,Depok,100+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,90+ terjual,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp15.000,Lidigeli,Kab. Garut,250+ terjual,4.8
kerupuk seblak polos pedas 500gr jajanan cemilan sneck makanan keripik,Rp20.000,pelangi khatulistiwa 2,Surabaya,40+ terjual,4.9
seblak basreng pedas original exstra daun jeruk 500gram,Rp25.000,Seblak putra bandung,Kab. Bandung,250+ terjual,4.8
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,DUO BOCIL SNACK,Depok,100+ terjual,5.0
Paket 1 Cemilan Keluarga Tokpokki/Tteobokki+Odeng/Eomuk+Saos Gochujan,Rp108.559,,,70+ terjual,5.0
Paket MIX Cemil Keluarga Tokpokki 1Kg + Odeng 1/2Kg + Saos 500ml,Rp81.559,,,70+ terjual,4.9
Topokki 1 Kg [Grosir Murah],Rp24.000,,,100+ terjual,5.0
siomay mini kering 1kg / gurilem toping seblak baso aci cuanki,Rp25.500,CuankiCulametan,Kab. Garut,100+ terjual,4.9
Paket 5 pcs Seblak Instan Ceu Nthien terdekat Viral,Rp85.000,Central Seblak Nusantara,Tangerang Selatan,21 terjual,5.0
siomay kering besar murah 50 pcs toping seblak baso aci cuanki,Rp12.999,CuankiCulametan,Kab. Garut,100+ terjual,4.9
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,Rp47.840,kylafood,Bandung,100+ terjual,4.7
Keripik Kentang Asli Potalo Snacks - Seblak pedas potato chips,Rp30.000,Potalo,Jakarta Barat,7 terjual,4.8
Seblak Seafood Instan,Rp7.500,Cemilan Malang,Malang,18 terjual,5.0
KERUPUK SEBLAK PEDAS KENCUR / SEMBRING SEBLAK KERITING BANTET 500 GRAM,Rp38.000,TOKO KUE MEISYA,Jakarta Pusat,50+ terjual,5.0
(PROMO MURAH) Seblak instan jajanan khas bandung by karoppotta,Rp8.380,karoppotta official,Makassar,70+ terjual,4.9
KERUPUK SEBLAK KENCUR/SEBLAK CIKRUH BERAT 500 GRAM,Rp22.500,aurel prima snack,Jakarta Barat,18 terjual,4.6
COMBO HALU! 2PC BAKSO ACI INSTANT + 2PC SEBLAK - EMAK INDAH FOOD,Rp89.200,Pempek Emak Indah,Jakarta Barat,30+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp25.000,Brother Meat Shop,Depok,250+ terjual,5.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
SEBLAK INSTAN MAMANG TERMURAH,Rp4.200,global cookware1,Jakarta Barat,250+ terjual,5.0
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,Rp25.000,LEGIT SNACK,Jakarta Barat,60+ terjual,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,90+ terjual,4.9
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",Rp14.999,aghniya,Tangerang Selatan,750+ terjual,4.9
